2017-12-10 19:28:48,584 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-12-10 19:36:49,132 [Worker-53] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: training.maven.quick:word-counter:1.0-SNAPSHOT @ /Users/jeanieherold/maven-crashcourse/projects/words/pom.xml.
2017-12-10 19:36:51,313 [Worker-53] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/primefaces/extensions/primefaces-extensions/6.1.1/primefaces-extensions-6.1.1.pom
2017-12-10 19:36:51,759 [Worker-53] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/primefaces/extensions/primefaces-extensions/6.1.1/primefaces-extensions-6.1.1.pom
2017-12-10 19:36:51,984 [Worker-53] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/primefaces/extensions/master-pom/6.1.1/master-pom-6.1.1.pom
2017-12-10 19:36:52,338 [Worker-53] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/primefaces/extensions/master-pom/6.1.1/master-pom-6.1.1.pom
2017-12-10 19:36:52,596 [Worker-53] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/primefaces/primefaces/6.1/primefaces-6.1.pom
2017-12-10 19:36:52,890 [Worker-53] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/primefaces/primefaces/6.1/primefaces-6.1.pom
2017-12-10 19:36:53,148 [Worker-53] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/google/code/gson/gson/2.2.4/gson-2.2.4.pom
2017-12-10 19:36:53,410 [Worker-53] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/google/code/gson/gson/2.2.4/gson-2.2.4.pom
